CountryName_x,CountryCode_x,RegionName,RegionCode_x,Jurisdiction,Date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,H8_Protection of elderly people,H8_Flag,M1_Wildcard,V1_Vaccine Prioritisation (summary),V2A_Vaccine Availability (summary),V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay,CountryName_y,CountryCode_y,RegionCode_y,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,ConfirmedCasesAtEOM,ConfirmedDeathsAtEOM,StateArea_km2
United States,USA,Alaska,US_AK,STATE_TOTAL,2020-12-31,3.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,,1.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,2.0,1.0,,,,,,,,,,,47014.0,206.0,65.28,65.28,68.57,68.57,61.35,61.35,64.76,64.76,37.5,37.5,United States,USA,US_AK,733391.0,424916.0,391925.0,,,,,0.42692255390131223,,115198.0,111045.0,128022.0,113254.0,102310.0,116061.0,82608.0,35021.0,13322.0,47014.0,206.0,1717854.8973299998
United States,USA,Alabama,US_AL,STATE_TOTAL,2020-12-31,2.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,361226.0,4827.0,43.52,43.52,58.33,58.33,49.9,49.9,51.67,51.67,37.5,37.5,United States,USA,US_AL,5024279.0,2512466.0,2681479.0,,,,,37.00655382819429,,621981.0,660970.0,701742.0,680141.0,613936.0,666838.0,645125.0,414601.0,188612.0,361226.0,4827.0,135767.2758
United States,USA,Arkansas,US_AR,STATE_TOTAL,2020-12-31,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,2.0,1.0,2.0,2.0,,,3.0,1.0,2.0,1.0,3.0,1.0,,,,,,,,,,,225138.0,3676.0,50.93,50.93,63.1,63.1,58.75,58.75,60.0,60.0,50.0,50.0,United States,USA,US_AR,3011524.0,1585221.0,1654473.0,,,,,21.864929174154994,,411655.0,409232.0,438604.0,423461.0,368838.0,394967.0,403526.0,264192.0,125218.0,225138.0,3676.0,137733.07820999998
United States,USA,Arizona,US_AZ,STATE_TOTAL,2020-12-31,2.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,,1.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,,2.0,1.0,,,,,,,,,,,520207.0,8864.0,57.41,57.41,63.1,63.1,60.68,60.68,60.42,60.42,62.5,62.5,United States,USA,US_AZ,7151502.0,4026510.0,4085461.0,,,,,24.221550767853493,,1080975.0,1054611.0,1112760.0,1095491.0,905754.0,930631.0,988546.0,646511.0,296692.0,520207.0,8864.0,295253.68001999997
United States,USA,California,US_CA,STATE_TOTAL,2020-12-31,3.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,,2.0,0.0,2.0,0.0,3.0,2.0,0.0,2.0,,,2.0,1.0,3.0,2.0,,,3.0,1.0,2.0,1.0,3.0,0.0,,,,,,0.0,0.0,0.0,2.0,,2387129.0,25763.0,66.2,66.2,63.81,63.81,73.07,73.07,71.01,71.01,87.5,87.5,United States,USA,US_CA,39538223.0,20468055.0,20856543.0,,,,,93.25690369506172,,5297960.0,5594857.0,6134141.0,5908592.0,5079947.0,4954811.0,4286163.0,2632208.0,1435918.0,2387129.0,25763.0,423971.00304
United States,USA,Colorado,US_CO,STATE_TOTAL,2020-12-31,2.0,0.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,,,2.0,1.0,2.0,2.0,,,3.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,334097.0,4814.0,57.41,57.41,67.86,67.86,61.88,61.88,61.79,61.79,62.5,62.5,United States,USA,US_CO,5773714.0,2978798.0,2984005.0,,,,,21.415660957830873,,782811.0,743944.0,854059.0,875080.0,741220.0,776641.0,653732.0,357233.0,178082.0,334097.0,4814.0,269602.41906
United States,USA,Connecticut,US_CT,STATE_TOTAL,2020-12-31,2.0,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,2.0,,,2.0,1.0,3.0,2.0,,,3.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,185708.0,5995.0,67.59,67.59,80.95,80.95,71.25,71.25,70.71,70.71,75.0,75.0,United States,USA,US_CT,3605944.0,1818390.0,1933634.0,,,,,251.17476929178213,,416756.0,474984.0,464289.0,464250.0,499839.0,515148.0,456067.0,277479.0,183211.0,185708.0,5995.0,14356.314569999999
United States,USA,Delaware,US_DE,STATE_TOTAL,2020-12-31,2.0,0.0,2.0,1.0,2.0,1.0,4.0,1.0,0.0,,1.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,,,2.0,1.0,3.0,2.0,,,4.0,1.0,1.0,1.0,3.0,0.0,,,,,,,,,,,57456.0,1061.0,63.89,63.89,66.67,66.67,68.96,68.96,69.88,69.88,62.5,62.5,United States,USA,US_DE,989948.0,499890.0,535860.0,,,,,153.56399388317212,,120699.0,127709.0,137209.0,128535.0,126191.0,132876.0,135670.0,86094.0,40766.0,57456.0,1061.0,6446.48511
United States,USA,Florida,US_FL,STATE_TOTAL,2020-12-31,2.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,,2.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,3.0,1.0,,,,,,,,,,,1323315.0,21673.0,47.69,47.69,51.9,51.9,53.02,53.02,53.45,53.45,50.0,50.0,United States,USA,US_FL,21538187.0,10895349.0,11483510.0,,,,,126.46270300886947,,2371551.0,2552497.0,2815527.0,2770363.0,2671958.0,2785900.0,3052085.0,2211881.0,1147096.0,1323315.0,21673.0,170312.56241999997
United States,USA,Georgia,US_GA,STATE_TOTAL,2020-12-31,2.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,,2.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,3.0,1.0,,,2.0,0.0,2.0,1.0,2.0,0.0,,,,,,,,,,,666452.0,10934.0,53.7,53.7,60.24,60.24,56.93,56.93,54.35,54.35,75.0,75.0,United States,USA,US_GA,10711908.0,5704118.0,6019096.0,,,,,69.59844818427456,,1589223.0,1582966.0,1624897.0,1721488.0,1511074.0,1410843.0,1266276.0,707359.0,309088.0,666452.0,10934.0,153910.15574999998
United States,USA,Hawaii,US_HI,STATE_TOTAL,2020-12-31,2.0,0.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,22007.0,288.0,78.7,78.7,80.95,80.95,75.94,75.94,77.86,77.86,62.5,62.5,United States,USA,US_HI,1455271.0,764289.0,767404.0,,,,,51.397993451573726,,179021.0,172637.0,215044.0,201768.0,178560.0,202191.0,195458.0,115228.0,71787.0,22007.0,288.0,28313.770679999998
United States,USA,Iowa,US_IA,STATE_TOTAL,2020-12-31,2.0,0.0,1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,,,2.0,1.0,2.0,1.0,,,3.0,0.0,2.0,1.0,2.0,1.0,,,,,,,,,,,281712.0,3891.0,43.52,43.52,58.33,58.33,50.16,50.16,48.39,48.39,62.5,62.5,United States,USA,US_IA,3190369.0,1578224.0,1623355.0,,,,,21.889848750129847,,397429.0,402753.0,437058.0,396609.0,364027.0,416686.0,373001.0,255350.0,158665.0,281712.0,3891.0,145746.50727
